feature,importance,af_range
duplex_bin9,0.19955545423453325,"[4.0e-01, 1.0e+00)"
circles_bin9,0.16399420010800664,"[4.0e-01, 1.0e+00)"
circles_bin7,0.12670215037949822,"[6.3e-02, 1.6e-01)"
circles_bin8,0.11121663995185208,"[1.6e-01, 4.0e-01)"
duplex_bin7,0.1094484663129167,"[6.3e-02, 1.6e-01)"
duplex_bin8,0.08499836018104084,"[1.6e-01, 4.0e-01)"
duplex_bin6,0.058975696334288494,"[2.5e-02, 6.3e-02)"
circles_bin6,0.05667416813106332,"[2.5e-02, 6.3e-02)"
duplex_bin5,0.025266382638796644,"[1.0e-02, 2.5e-02)"
circles_bin5,0.02371677050330813,"[1.0e-02, 2.5e-02)"
duplex_bin3,0.010663956778243836,"[1.6e-03, 4.0e-03)"
circles_bin4,0.008981865721882441,"[4.0e-03, 1.0e-02)"
circles_bin3,0.008637028629564713,"[1.6e-03, 4.0e-03)"
duplex_bin4,0.008521793481889476,"[4.0e-03, 1.0e-02)"
circles_bin2,0.002498302620785069,"[6.3e-04, 1.6e-03)"
circles_bin1,0.00013340245775763244,"[2.5e-04, 6.3e-04)"
duplex_bin2,1.5361534572646123e-05,"[6.3e-04, 1.6e-03)"
circles_bin0,0.0,"[1.0e-04, 2.5e-04)"
duplex_bin1,0.0,"[2.5e-04, 6.3e-04)"
duplex_bin0,0.0,"[1.0e-04, 2.5e-04)"
